年份,人口,总GDP,农林消费部门GDP,第二产业GDP总量,能源供应部门GDP,工业消费部门GDP,第三产业GDP总量,交通消费部门GDP,建筑消费部门GDP,能源消费总量,农林消费部门能源消费量,第二产业能源消费量,能源供应部门发电能源消费量,能源供应部门供热能源消费量,能源供应部门其他转换能源消费量,能源供应部门损失能源消费量,工业消费部门能源消费量,第三产业能源消费量,交通消费部门能源消费量,建筑消费部门能源消费量,居民生活能源消费量,engConsStr_frs_coal,engConsStr_frs_oil,engConsStr_frs_gas,engConsStr_frs_heat,engConsStr_frs_ele,engConsStr_frs_other,engConsStr_2total_coal,engConsStr_2total_oil,engConsStr_2total_gas,engConsStr_2total_heat,engConsStr_2total_ele,engConsStr_2total_other,engConsStr_eng_coal,engConsStr_eng_oil,engConsStr_eng_gas,engConsStr_eng_heat,engConsStr_eng_ele,engConsStr_eng_other,engConsStr_ids_coal,engConsStr_ids_oil,engConsStr_ids_gas,engConsStr_ids_heat,engConsStr_ids_ele,engConsStr_ids_other,engConsStr_3total_coal,engConsStr_3total_oil,engConsStr_3total_gas,engConsStr_3total_heat,engConsStr_3total_ele,engConsStr_3total_other,engConsStr_tfk_coal,engConsStr_tfk_oil,engConsStr_tfk_gas,engConsStr_tfk_heat,engConsStr_tfk_ele,engConsStr_tfk_other,engConsStr_cst_coal,engConsStr_cst_oil,engConsStr_cst_gas,engConsStr_cst_heat,engConsStr_cst_ele,engConsStr_cst_other,engConsStr_life_coal,engConsStr_life_oil,engConsStr_life_gas,engConsStr_life_heat,engConsStr_life_ele,engConsStr_life_other,ecConsVarStr_coal_total,ecConsVarStr_coal_ele,ecConsVarStr_coal_heat,ecConsVarStr_coal_proc,ecConsVarStr_coal_loss,ecConsVarStr_coal_other,ecConsVarStr_oil_total,ecConsVarStr_oil_ele,ecConsVarStr_oil_heat,ecConsVarStr_oil_proc,ecConsVarStr_oil_loss,ecConsVarStr_oil_other,ecConsVarStr_gas_total,ecConsVarStr_gas_ele,ecConsVarStr_gas_heat,ecConsVarStr_gas_proc,ecConsVarStr_gas_loss,ecConsVarStr_gas_other,ecConsVarStr_newHeat,ecConsVarStr_newEle,ecConsVarStr_otherEle,ecConsVarStr_otherNew,碳排放总量,农林消费部门碳排放量,工业消费部门碳排放量,第三产业碳排放量,交通消费部门碳排放量,建筑消费部门碳排放量,居民生活消费碳排放量,consCEFactor_frs_coal,consCEFactor_frs_oil,consCEFactor_frs_gas,consCEFactor_frs_heat,consCEFactor_frs_ele,consCEFactor_frs_other,consCEFactor_ids_coal,consCEFactor_ids_oil,consCEFactor_ids_gas,consCEFactor_ids_heat,consCEFactor_ids_ele,consCEFactor_ids_other,consCEFactor_tfk_coal,consCEFactor_tfk_oil,consCEFactor_tfk_gas,consCEFactor_tfk_heat,consCEFactor_tfk_ele,consCEFactor_tfk_other,consCEFactor_cst_coal,consCEFactor_cst_oil,consCEFactor_cst_gas,consCEFactor_cst_heat,consCEFactor_cst_ele,consCEFactor_cst_other,consCEFactor_life_coal,consCEFactor_life_oil,consCEFactor_life_gas,consCEFactor_life_heat,consCEFactor_life_ele,consCEFactor_life_other,supCEFactor_ele_coal,supCEFactor_ele_oil,supCEFactor_ele_gas,supCEFactor_ele_heat,supCEFactor_ele_ele,supCEFactor_ele_other,supCEFactor_heat_coal,supCEFactor_heat_oil,supCEFactor_heat_gas,supCEFactor_heat_heat,supCEFactor_heat_ele,supCEFactor_heat_other,supCEFactor_other_coal,supCEFactor_other_oil,supCEFactor_other_gas,supCEFactor_other_heat,supCEFactor_other_ele,supCEFactor_other_other,supCEFactor_loss_coal,supCEFactor_loss_oil,supCEFactor_loss_gas,supCEFactor_loss_heat,supCEFactor_loss_ele,supCEFactor_loss_other,otherEleFactor,人均GDP,化石能源占比,非化石能源占比,能源强度,能源碳排强度,碳排强度,人口增长率,GDP增长率,人均GDP增长率,能源强度增长率,能源碳排强度增长率,农林消费部门化石能源占比,第二产业化石能源占比,能源供应部门化石能源占比,工业消费部门化石能源占比,第三产业化石能源占比,交通消费部门化石能源占比,建筑消费部门化石能源占比,居民生活消费化石能源占比,总能源强度,农林消费部门能源强度,第二产业能源强度,能源供应部门能源强度,工业消费部门能源强度,第三产业能源强度,交通消费部门能源强度,建筑消费部门能源强度,非化石能源产热电占比,能源供应部门碳排放量,总碳排放因子,农林消费部门碳排放因子,能源供应部门碳排放因子,工业消费部门碳排放因子,第三产业碳排放因子,交通消费部门碳排放因子,建筑消费部门碳排放因子,居民生活消费碳排放因子,能源供应部门能源消费量
2010,7869.34,41383.87,2409.24,21853.6,904.65,20948.95,17121.03,1767.22,15353.81,23539.31,345.36,20113.07,5752.1,204.84,-610.67,454.13,14312.68,1932.84,1398.26,534.58,1148.05,36.19,274.31,0,0,34.85,0,17865.69,1574.81,817.81,-36.92,-269.74,161.41,10530.19,172.95,373.73,-1669.89,-3731.81,125.22,7335.5,1401.86,444.08,1632.97,3462.07,36.19,44.62,1398.32,33.12,13.07,443.71,0,25,1316.68,14.36,4.11,38.11,0,19.62,81.64,18.75,8.97,405.59,0,36.19,500.91,108.26,23.84,478.84,0,17982.69,9335.69,1840.96,-646.47,0,7452.5,3748.36,4.93,4.07,147.6,16.35,3575.41,959.19,324.39,37.64,0,11.7,585.46,0,238.98,448.68,161.41,56360.052,896.07,45225.697,5898.284,3068.031,2830.254,4340.001,2.664,2.114,-,-,6.307,-,2.961,1.377,1.628,2.707,6.307,0,2.664,2.07,1.628,2.906,6.307,-,2.664,2,1.628,2.906,6.307,-,2.853,1.939,1.628,2.906,6.307,-,2.73,2.111,1.628,2.906,-,0,2.783,2.002,1.628,-,-,0,8.137,1.222,-,2.906,-,-,0,0,0,3.072,5.869,0,4.508,5.25887431474558,0.963929607832536,0.0360703921674644,0.568804087952613,2.3942945325012,1.36188451784927,0.0195251444212602,0.110400018171331,0.0891345095776491,0.0276214368149741,0.0137228755566788,0.899076732267237,1.00722155024863,1.9096758784201,0.641490601085883,0.763674397828592,0.969807569813845,0.22450569764754,0.562137909004356,0.568804087952613,0.143346369499737,0.920355098633717,6.41178266008894,0.68321688729842,0.112892788268812,0.791219233974645,0.034817351008769,0.0684914750499207,26141.0809002257,2.3942945325012,2.59462756562861,4.50677755618103,3.15983444840553,3.0516140493183,2.19417435550445,5.294361496247,3.78033857346653,5800.39298020674
2011,8022.99,45952.65,2736.86,23739.96,947.43,22792.53,19475.83,1988.43,17487.4,26860.03,393.87,23145.47,6992.75,286.73,243.37,450.76,15171.86,2115.56,1494.74,620.83,1205.13,40.24,313.05,0,0,40.57,0,20934.09,1397.26,1040.93,-26.68,-376.44,176.31,13115.37,140.74,520.16,-1727.73,-4218.09,143.15,7818.72,1256.52,520.77,1701.05,3841.64,33.16,20.47,1492.7,82.06,9.37,510.97,0,2.29,1382.88,57.72,2.71,49.15,0,18.19,109.82,24.34,6.66,461.82,0,17.52,545.17,123.42,17.31,501.69,0,21012.33,10969.99,1984.63,160.76,0,7896.96,3748.19,6.82,5.2,115.26,13.45,3607.45,1246.41,478.27,41.36,0,0.53,726.25,0,248.21,428.58,176.31,65193.342,1031.176,52975.787,6584.556,3280.292,3304.264,4601.822,2.664,2.116,-,-,6.445,-,2.632,1.496,1.572,2.861,6.445,0,2.664,2.065,1.628,2.916,6.445,-,2.664,2.006,1.628,2.916,6.445,-,3.039,1.951,1.628,2.916,6.445,-,2.657,2.274,1.628,2.916,-,0,2.656,2.273,1.628,-,-,0,0.165,1.25,-,2.906,-,-,0,0,0,3.031,5.995,0,4.459,5.72762149772093,0.968239209450747,0.0317607905492534,0.584515274128095,2.42715113841675,1.41870691302198,0.0195251444212602,0.110400018171331,0.0891345095776491,0.0276214368149741,0.0137228755566788,0.896997506031781,1.0097994939365,1.72773391530667,0.632487065012667,0.754044037583552,0.965308608929249,0.24538997868094,0.569336066748288,0.584515274128095,0.143911936821836,0.974958110644236,8.41603503081555,0.665650377861821,0.108625116962681,0.751719452870843,0.0355012922572125,0.0594932376731697,35461.3995586267,2.42715113841675,2.6180827079807,4.44734486536732,3.49171418566117,3.11243547090577,2.1945590819631,5.32237321783922,3.81853788769066,7973.61136411396
2012,8119.81,50660.2,3057.82,25612.91,1121.15,24491.76,21989.47,2199.51,19789.96,27999.22,448.95,23869.22,7339.98,354.09,223.05,457.5,15494.59,2308.96,1618.15,690.81,1372.09,38.72,363.57,0,0,46.65,0,21121.27,1650.45,1289.17,-17.11,-413.61,239.03,13610.82,214.55,611.67,-1764.35,-4493.99,195.92,7510.45,1435.9,677.51,1747.25,4080.38,43.11,2.06,1647.03,78.47,5.57,575.82,0,2.06,1502.7,54.53,0.8,58.06,0,0,144.33,23.94,4.77,517.77,0,12.71,634.89,136.72,11.53,576.23,0,21174.77,11409.43,2145.51,55.89,0,7563.95,4295.95,5.29,3.72,195.1,10.45,4081.4,1504.37,584.54,5.85,0,21.28,892.7,0,265.8,519.3,239.03,67502.613,1165.275,54048.282,7147.774,3561.73,3586.045,5141.282,2.664,2.119,-,-,6.253,-,2.664,1.577,1.628,2.985,6.253,0,2.664,2.064,1.628,3.032,6.253,-,-,2.042,1.628,3.032,6.253,-,3.14,1.954,1.628,3.032,6.253,-,2.656,2.141,1.628,-,-,0,2.657,2.078,1.628,-,-,0,-4.646,1.448,-,2.906,-,-,0,0,0,3.157,5.864,0,4.032,6.2390868751855,0.963422999548985,0.0365770004510154,0.552686687152098,2.41087494347243,1.33245848564578,0.012067820101982,0.102443493465556,0.0892980406732697,-0.0544529602301239,-0.00670588439537079,0.896084260961653,1.00803057530101,1.7239030464602,0.621110837793118,0.748200810373751,0.963627728776326,0.243585759808956,0.571628916351876,0.552686687152098,0.146819695650283,0.931921349963962,7.4697055016495,0.632644998933739,0.105003180171443,0.735688025428287,0.0349071549275234,0.067472449035328,37007.1413780019,2.41087494347243,2.59556385412307,4.41896096219149,3.48820289927551,3.0956630690561,2.20110820759346,5.19106437729177,3.74704968211014,8374.62509730998
2013,8192.44,55580.11,3228.54,27298.13,1065.45,26232.68,25053.44,2233.94,22819.5,28203.1,362.18,23889.14,7820.62,335.18,-968.04,353.57,16347.81,2481.88,1743.67,738.21,1469.91,36.65,272.19,0,0,53.34,0,21159.59,1521.22,1370.94,-25.94,-416.91,280.24,13202.63,183.97,601.83,-1882.89,-4822.18,257.97,7956.97,1337.25,769.11,1856.94,4405.26,22.27,18.06,1725.94,88.31,8.43,641.13,0,2.79,1613.15,61.85,1.65,64.23,0,15.27,112.79,26.47,6.78,576.9,0,9.17,575.23,195.64,17.51,672.36,0,21223.47,11937.16,2156.52,-891.05,0,8020.85,4094.58,4.09,4.86,155.08,19.94,3910.61,1654.89,561.79,17.16,0,22.88,1053.07,0,271.92,678,280.24,66749.376,1007.478,52229.084,7791.472,3847.156,3944.317,5721.341,2.664,2.117,-,-,6.253,-,3.13,1.519,1.629,2.603,6.253,0,2.664,2.066,1.628,2.967,6.253,-,2.653,2.069,1.628,2.967,6.253,-,2.603,1.952,1.628,2.967,6.253,-,2.759,2.097,1.628,2.967,-,0,2.68,1.994,1.628,-,-,0,8.864,1.515,-,2.906,-,-,0,0,0,3.118,6.028,0,3.542,6.78431700445777,0.956382156541835,0.043617843458165,0.507431602328363,2.36673860601075,1.20095796314043,0.00894479058007516,0.0971158818954525,0.0873894113320958,-0.0818819882507505,-0.0183071866009401,0.852727530925915,1.00680722046454,1.85490213721158,0.615576734633326,0.738276548963422,0.96221841382967,0.209322530475288,0.530670120794549,0.507431602328363,0.112179626809569,0.875119861353231,7.07809215526137,0.623184759658174,0.0990636161558948,0.780537190138778,0.0323501077319107,0.0773113987504554,32013.9300295245,2.36673860601075,2.78173303531445,4.24513200713549,3.19486747181055,3.13933735099578,2.20635413422395,5.34305759771337,3.89231531914427,7541.32733109676
2014,8281.09,60359.43,3358.61,28907.54,1149.82,27757.72,28093.28,2378.93,25714.36,28170.51,383.72,23670.13,6951.05,382.1,-1181.69,500.15,17018.53,2644.2,1915.88,728.32,1472.45,36.18,290.25,0,0,57.3,0,20488.62,1671.61,1363.52,-22.03,-151.34,319.75,12130.49,235.18,543.31,-1824.49,-4725.06,292.18,8358.12,1436.43,820.22,1802.47,4573.72,27.57,10.68,1835.85,124.62,6.5,666.55,0,1.76,1743.09,99.48,1.21,70.34,0,8.92,92.76,25.14,5.29,596.21,0,7.76,628.37,210.14,15.53,610.65,0,20543.24,11082.28,2208.01,-1159.8,0,8412.74,4426.08,2.34,2.22,212.07,18.54,4190.9,1698.28,485.45,27.93,0.4,29.53,1154.98,0,366.22,816.94,319.75,64853.276,1020.853,51187.98,7676.077,4157.352,3518.725,4968.367,2.664,2.109,-,-,5.45,-,3.302,1.594,1.587,2.62,5.45,0,2.664,2.067,1.628,2.998,5.45,-,2.664,2.034,1.628,2.998,5.45,-,2.648,1.959,1.628,2.998,5.45,-,2.656,2.116,1.628,2.998,-,0,2.834,1.967,1.628,-,-,0,8.042,1.688,0.477,2.906,-,-,0,0,0,3.312,5.227,0,2.557,7.28882671242554,0.946649584601399,0.0533504153986007,0.466712587654938,2.30216938885774,1.07445143269378,0.0108209519996484,0.0859897542484173,0.0743641117648648,-0.0802453266343388,-0.0272819385246135,0.850684297777406,0.993815620928729,1.94073169513652,0.623718329700873,0.745463673185815,0.962657553731261,0.174127090744322,0.574734467319886,0.466712587654938,0.114250638501677,0.818822251148351,5.78491914910279,0.613109802773694,0.0941220350073156,0.805353403938811,0.0283235206502756,0.0981577741101341,27565.6198008531,2.30216938885774,2.66038490058949,4.14420595645296,3.00777938203351,2.90298998731042,2.16994879573378,4.83128211106854,3.37421335435791,6651.6046959323
2015,8315.11,65552,3636.08,30700.41,1357.63,29342.78,31215.51,2240.39,28975.11,29033.61,429.37,24261.96,7380.49,440.86,-1275.59,474.01,17242.19,2776.11,2019.29,756.83,1566.16,36.05,328.79,0,0,64.53,0,20810.81,1622.78,1771.24,-19.53,-255.71,332.36,12426.87,182.21,847.59,-1865.89,-4869.85,298.84,8383.95,1440.57,923.65,1846.36,4614.14,33.52,7.77,1868.33,182.41,4.26,713.34,0,1.84,1791.99,147.7,0.69,77.08,0,5.94,76.34,34.71,3.58,636.25,0,4.47,656.1,239.93,15.27,650.39,0,20859.11,11319.73,2307.73,-1200.59,0,8432.24,4476,2.35,2.19,158.66,19.01,4293.79,2193.58,769.41,49.21,0.12,28.86,1345.99,0,326.08,846.47,332.36,66074.81,1162.512,51101.873,8314.531,4398.073,3916.458,5495.894,2.664,2.11,-,-,5.778,-,3.091,1.301,1.593,2.739,5.778,0,2.664,2.068,1.628,3.107,5.778,-,2.623,2.06,1.628,3.107,5.778,-,2.664,1.964,1.628,3.107,5.778,-,2.784,2.085,1.628,3.107,-,0,2.824,1.956,1.628,-,-,0,7.885,1.722,0.829,2.906,-,-,0,0,0,3.399,5.554,0,2.566,7.88347959317435,0.948166555392468,0.0518334446075323,0.442909569019742,2.2758042953357,1.00797549962041,0.00410815484435025,0.0860274856803651,0.0815841704310363,-0.05100144985332,-0.0114522822037511,0.849700264990057,0.997645609194786,1.91696743504516,0.623364254044768,0.7415087456508,0.961487059229475,0.154584470346729,0.574976818506272,0.442909569019742,0.118087010393412,0.790281389369204,5.17061712332367,0.587612646076841,0.0889336962705871,0.901307935937434,0.0261198311455724,0.0943191743679162,30178.578201432,2.2758042953357,2.70745843928617,4.29908197455928,2.96376930296474,2.99502855853481,2.17803426259567,5.1748515477684,3.50915033934866,7019.77268170741
2016,8381.47,70665.71,3690.61,32013.02,1417.9,30595.12,34962.07,2316.43,32645.64,29947.98,433.46,24929.67,7786.52,415.01,-1334.32,337.92,17724.55,2878.53,2083.59,794.94,1706.31,35.02,322.4,0,0,76.04,0,21409.81,1717.25,1833.42,-7.01,-339.77,315.97,12992.04,204.88,876.8,-1989.92,-5164.95,286.27,8417.76,1512.38,956.63,1982.91,4825.18,29.7,5.36,1890.25,182.07,0.79,800.05,0,1.56,1840.17,155.33,0.36,86.18,0,3.81,50.09,26.73,0.44,713.88,0,0,658.45,280.23,6.21,761.41,0,21450.19,12021.39,2232.61,-1261.96,0,8458.15,4588.35,1.91,1.56,182.08,19.32,4383.48,2295.72,790.82,85.92,0.06,0,1418.93,0,376.5,921.23,315.97,68526.125,1211.034,52382.224,8801.016,4556.294,4244.722,6131.851,2.664,2.117,-,-,5.725,-,3.086,1.323,1.573,2.817,5.725,0,2.664,2.068,1.628,3.19,5.725,-,2.664,2.05,1.628,3.19,5.725,-,-,1.969,1.628,3.19,5.725,-,2.789,2.106,1.628,3.19,-,0,2.818,1.959,1.628,-,-,0,7.858,1.893,1.157,2.906,-,-,0,0,0,3.309,5.515,0,2.421,8.43118293436489,0.946116298141797,0.0538837018582027,0.423797878237163,2.28817210410621,0.969722482761676,0.00798065208999024,0.0780099284368334,0.0694748219637364,-0.0431503225926626,0.0054344781736546,0.824579326355301,1.00123579154569,1.95329286932415,0.614219675994131,0.721785957163707,0.958468737733571,0.101426903006028,0.550122296908544,0.423797878237163,0.117450014741495,0.778735432547151,5.0815338101758,0.579326149395488,0.0823330372625966,0.899483535200366,0.0243506594695684,0.0963527478515518,31681.6005705065,2.28817210410621,2.79386233697993,4.39709418219035,2.95534814592528,3.05746479974519,2.18675095910975,5.33965538969029,3.59364141085844,7205.12212333936
2017,8423.5,75752.2,3568.54,34514.33,1526.98,32987.35,37669.33,2420.17,35249.16,30669.89,440.49,25317.56,8219.69,523.98,-1635.7,377.27,17832.32,3049.2,2187.96,861.24,1862.64,34.64,323.78,0,0,82.07,0,21022.02,1513.72,2683.75,-6.56,-237.04,341.66,12759.39,163.32,1663.34,-2124.77,-5286.4,310.35,8262.63,1350.4,1020.41,2118.22,5049.36,31.31,4.81,1961.03,174.93,0.72,907.7,0,0.73,1925.44,159.23,0.3,102.25,0,4.09,35.6,15.69,0.42,805.45,0,0,715.48,300.31,5.83,841.02,0,21061.47,11846.61,2439.15,-1526.37,0,8302.08,4514.01,2.34,4.4,147.21,9.37,4350.69,3158.99,1506.76,124.22,0.04,32.32,1495.65,0,496.07,1097.68,341.66,70451.557,1245.019,52975.849,9524.015,4826.106,4697.909,6706.674,2.664,2.117,-,-,5.696,-,3.166,1.364,1.599,2.926,5.696,0,2.664,2.068,1.628,3.278,5.696,-,2.664,2.033,1.628,3.278,5.696,-,-,1.968,1.628,3.278,5.696,-,2.81,2.08,1.628,3.278,-,0,2.824,1.926,1.628,-,-,0,7.32,2.037,-,2.906,-,-,0,0,0,3.4,5.49,0,3.069,8.99296034810741,0.936895274875118,0.063104725124882,0.40487122291568,2.29709221428109,0.93002653394607,0.00501463347121694,0.0719796757387263,0.0666309126626536,-0.0446596273681469,0.00389835631632322,0.813677286482276,0.996126600003245,1.9486432518722,0.596301363786082,0.70207750010664,0.953126308476686,0.0642975287762599,0.545349547154677,0.40487122291568,0.123435971930705,0.733537457780062,4.9019735576511,0.540580584405032,0.0809465309957542,0.904051458677768,0.0244330347730046,0.108372569508185,31969.7711993623,2.29709221428109,2.82646482382919,4.27104403605068,2.97077714818525,3.12344568953522,2.20575846793552,5.45479525331968,3.60062260868767,7485.23567762694
2018,8446.19,80827.71,3591.61,36533.74,1604.56,34929.18,40702.36,2570.68,38131.69,31373.13,457.99,25580.66,8104.87,1010.79,-2028.82,370.15,18123.66,3300.79,2324.65,976.14,2033.69,33.66,335.87,0,0,88.46,0,20614.64,1572.84,3124.16,-7.83,-99.52,376.37,12683.3,221.18,1819.16,-2255.88,-5346.75,335.99,7931.34,1351.66,1305,2248.05,5247.23,40.38,3.78,2062.8,191.61,1.3,1041.29,0,0.72,2029.09,182.97,0.33,111.54,0,3.06,33.71,8.65,0.98,929.75,0,0,741.33,353.91,6.53,931.91,0,20652.09,11649.98,2826.76,-1793.43,0,7968.78,4712.84,6.96,13.6,190.91,9.7,4491.66,3669.68,1538.28,241.51,0,39.37,1850.52,0,697.74,1264.41,376.37,71502.003,1295.487,52506.881,10422.113,5125.165,5296.948,7277.522,2.664,2.116,-,-,5.596,-,3.256,1.452,1.604,3.194,5.596,0,2.664,2.07,1.628,3.745,5.596,-,2.664,2.034,1.628,3.745,5.596,-,-,1.973,1.628,3.745,5.596,-,2.878,1.971,1.628,3.745,-,0,2.791,1.934,1.628,-,-,0,7.333,2.483,-,2.906,-,-,0,0,0,3.919,5.43,0,3.531,9.56972456630883,0.925461128096537,0.0745388719034633,0.388148147438405,2.27908437879398,0.88462237948469,0.00269365465661548,0.0670014909460588,0.064135078536491,-0.0413046779586941,-0.00783940469396712,0.806846196215692,0.989483526957423,1.97447296998488,0.584208696863734,0.684137294310956,0.951876537610646,0.0465204550770938,0.538552637609984,0.388148147438405,0.127518013507186,0.700192592433329,4.64737699114418,0.518868697340902,0.0810957738297232,0.904296252549539,0.0255990849977281,0.125621311755026,31673.9454376005,2.27908437879398,2.82860772206902,4.24754731332612,2.89714568902763,3.15746070551064,2.20470083258603,5.42644350846509,3.57848676517421,7456.99649730272
2019,8469.09,85556.13,3726.61,37730.14,1692.7,36037.45,44099.38,2749.08,41350.3,32227.51,438.58,26196.12,8131.55,953.12,-2376.43,378.33,19109.55,3522.38,2482.93,1039.46,2070.43,32.38,312.03,0,0,94.17,0,21034.31,1570.64,3151.46,-8.53,56.71,391.53,12204.5,280.59,1774.45,-2260.63,-5261.69,349.35,8829.81,1290.06,1377.01,2252.1,5318.4,42.18,2.64,2132.39,273.64,1.09,1112.63,0,0.36,2098.05,264.33,0.19,119.99,0,2.27,34.34,9.31,0.9,992.64,0,0,716.9,402.86,7.44,943.23,0,21069.32,11635.91,2746.92,-2178.33,0,8864.82,4731.96,8.49,12.32,250.39,9.38,4451.37,3827.96,1483.63,247.2,0.27,43.36,2053.51,0,857.41,1349.32,391.53,74096.331,1278.384,54235.439,11150.957,5449.651,5701.306,7431.551,2.664,2.116,-,-,5.649,-,3.348,1.558,1.601,3.083,5.649,0,2.664,2.069,1.628,3.662,5.649,-,2.664,2.034,1.628,3.662,5.649,-,-,1.982,1.628,3.662,5.649,-,2.938,2.058,1.628,3.662,-,0,2.788,1.922,1.628,-,-,0,7.26,2.356,0.881,2.906,-,-,0,0,0,3.827,5.479,0,3.836,10.1021637358974,0.919377540905734,0.0806224590942657,0.376682581669905,2.29916433788069,0.866055158476277,0.00271128165480526,0.0585000097882053,0.055637878174992,-0.0295391485033926,0.00881053780788062,0.785291615223137,0.983214816801919,2.01219352112991,0.601629536097023,0.683817603425937,0.951597854253465,0.0441792581639232,0.5408329920238,0.376682581669905,0.117687770378132,0.694302056014733,4.1865507803628,0.53026931912107,0.079873789770162,0.903183926104001,0.0251378991455119,0.13870160315097,29471.4134101513,2.29916433788069,2.91485128660876,4.15877307476869,2.83813236150881,3.16574078534413,2.19485133240448,5.48487418368671,3.58937955600244,7086.56444588299
