年份,总GDP预测,农林消费部门GDP预测,能源供应部门GDP预测,工业消费部门GDP预测,交通消费部门GDP预测,建筑消费部门GDP预测,人口预测,slip,总能源强度预测,农林消费部门能源强度预测,能源供应部门能源强度预测,工业消费部门能源强度预测,交通消费部门能源强度预测,建筑消费部门能源强度预测,非化石能源产热电占比预测,农林消费部门化石能源占比预测,能源供应部门化石能源占比预测,工业消费部门化石能源占比预测,交通消费部门化石能源占比预测,建筑消费部门化石能源占比预测,居民生活消费化石能源占比预测
2010,41497.84029,2409.24,904.645913267167,20948.9540867328,1767.22445262952,15353.8055473705,7868.56165023135,,0.568804087952613,0.143346369499737,6.41178266008894,0.68321688729842,0.791219233974645,0.034817351008769,0.0684914750499207,0.899076732267237,1.9096758784201,0.641490601085883,0.969807569813845,0.22450569764754,0.562137909004356
2011,46109.52338,2839.74231767986,949.994115430101,22444.8377145664,1989.48068472079,17728.5951676028,8006.21141792622,,0.584515274128095,0.143911936821836,8.41603503081555,0.665650377861821,0.751719452870843,0.0355012922572125,0.0594932376731697,0.896997506031781,1.72773391530667,0.632487065012667,0.965308608929249,0.24538997868094,0.569336066748288
2012,50788.71049,3014.68339921823,1041.81697297759,24324.7357696219,2105.57731233091,20173.3865458513,8117.5729905428,,0.552686687152098,0.146819695650283,7.4697055016495,0.632644998933739,0.735688025428287,0.0349071549275234,0.067472449035328,0.896084260961653,1.7239030464602,0.621110837793118,0.963627728776326,0.243585759808956,0.571628916351876
2013,55535.40161,3182.72661854521,1136.20525281507,26216.4959332975,2216.14161240869,22828.5405829335,8207.01387457359,,0.507431602328363,0.112179626809569,7.07809215526137,0.623184759658174,0.780537190138778,0.0323501077319107,0.0773113987504554,0.852727530925915,1.85490213721158,0.615576734633326,0.96221841382967,0.209322530475288,0.530670120794549
2014,60349.59675,3323.74375211971,1225.72410690943,27949.3509634735,2307.24862268632,25553.362554811,8278.41637032617,,0.466712587654938,0.114250638501677,5.78491914910279,0.613109802773694,0.805353403938811,0.0283235206502756,0.0981577741101341,0.850684297777406,1.94073169513652,0.623718329700873,0.962657553731261,0.174127090744322,0.574734467319886
2015,65231.29592,3468.70340585208,1321.41763299879,29776.9523277318,2400.50556669314,28584.4210667241,8335.13303389697,,0.442909569019742,0.118087010393412,5.17061712332367,0.587612646076841,0.901307935937434,0.0261198311455724,0.0943191743679162,0.849700264990057,1.91696743504516,0.623364254044768,0.961487059229475,0.154584470346729,0.574976818506272
2016,70180.4991,3590.74399674613,1413.07466938597,31467.8019085195,2477.35750077218,31716.7287534675,8379.99629691812,,0.423797878237163,0.117450014741495,5.0815338101758,0.579326149395488,0.899483535200366,0.0243506594695684,0.0963527478515518,0.824579326355301,1.95329286932415,0.614219675994131,0.958468737733571,0.101426903006028,0.550122296908544
2017,75197.2063,3693.69405073023,1501.5829400714,33045.4575934849,2540.58569868153,34970.8812093147,8415.35923562534,,0.40487122291568,0.123435971930705,4.9019735576511,0.540580584405032,0.904051458677768,0.0244330347730046,0.108372569508185,0.813677286482276,1.9486432518722,0.596301363786082,0.953126308476686,0.0642975287762599,0.545349547154677
2018,80281.41752,3779.2998702084,1587.11170812092,34516.8446882368,2591.5104888993,38352.9451792466,8443.15126368772,,0.388148147438405,0.127518013507186,4.64737699114418,0.518868697340902,0.904296252549539,0.0255990849977281,0.125621311755026,0.806846196215692,1.97447296998488,0.584208696863734,0.951876537610646,0.0465204550770938,0.538552637609984
2019,85433.13275,3833.39471713128,1662.9815087412,35741.4495065378,2620.55843062502,41697.7497110156,8464.9382087526,,0.376682581669905,0.117687770378132,4.1865507803628,0.53026931912107,0.903183926104001,0.0251378991455119,0.13870160315097,0.785291615223137,2.01219352112991,0.601629536097023,0.951597854253465,0.0441792581639232,0.5408329920238
2020,90652.35201,3804.97535284689,1705.15343946594,36216.7399778123,2593.16914074907,44363.1767178593,8481.98049512626,,0.354497721875118,0.108195604065008,3.88590811410314,0.516742274863125,0.899676065291275,0.0233481091177005,0.150662646141687,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2021,95939.07528,3938.9625233434,1823.48083656838,38274.3868043633,2676.26759078004,49225.9775264456,8495.28610506393,,0.336772835781362,0.102785823861758,3.69161270839798,0.490905161119969,0.854692262026711,0.0221807036618155,0.155182525525938,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2022,101293.3026,3976.87859568221,1901.82006599106,39449.1465161853,2693.75881421144,53271.698581581,8505.65689925979,,0.319934193992294,0.0976465326686697,3.50703207297808,0.46635990306397,0.811957648925376,0.0210716684787247,0.159838001291716,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2023,106715.0339,4003.72035880233,1977.87374614004,40544.1220435101,2703.63961288484,57485.6781229947,8513.72802991319,,0.303937484292679,0.0927642060352362,3.33168046932918,0.443041907910772,0.771359766479107,0.0200180850547885,0.164633141330467,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2024,112204.2692,4020.01333323081,2051.4930979439,41558.5650095592,2706.33308786108,61867.8646848881,8520.00081991728,,0.288740610078045,0.0881259957334744,3.16509644586272,0.420889812515233,0.732791778155151,0.019017180802049,0.169572135570381,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2025,117761.0086,4026.29514940322,2122.54013876231,42492.0362439807,2702.26571330971,66417.8713157381,8524.86979280121,,0.274303579574143,0.0837196959468007,3.00684162356958,0.399845321889471,0.696152189247394,0.0180663217619466,0.174659299637493,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2026,123385.2519,4023.11258639927,2190.88825741804,43344.4011863771,2691.8652660417,71134.98463117,8528.64464914659,,0.260588400595436,0.0795337111494606,2.8564995423911,0.379853055794998,0.661344579785024,0.0171630056738493,0.179899078626617,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2027,129076.9993,4011.01862980713,2256.42268707909,44115.823020926,2675.55880511857,76018.1761692024,8531.56798234482,,0.247558980565664,0.0755570255919876,2.71367456527155,0.360860403005248,0.628277350795773,0.0163048553901568,0.185296050985416,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2028,134836.2507,3990.5695779304,2319.04087346891,44806.7536767857,2653.77072029523,81066.1158668947,8533.82946457168,,0.235181031537381,0.0717791743123882,2.57799083700797,0.342817382854985,0.596863483255984,0.015489612620649,0.190854932514978,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2029,140663.0061,3962.32222406122,2378.65273748137,45417.9228556107,2626.920866597,86277.1874533527,8535.57714611646,,0.223421979960512,0.0681902155967688,2.44909129515757,0.325676513712236,0.567020309093185,0.0147151319896165,0.196580580490428,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2030,146557.2656,3926.83114054432,2435.18083280342,45950.3252696644,2595.42280057083,91649.5055337779,8536.9264170386,,0.212250880962486,0.0647807048169304,2.32663673039969,0.309392688026624,0.538669293638526,0.0139793753901357,0.202477997905141,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2031,152519.029,3884.64608797947,2488.56040060247,46405.2062919073,2559.68213178553,97180.9341238741,8537.96708996994,,0.201638336914362,0.0615416695760838,2.21030489387971,0.293923053625293,0.511735828956599,0.0132804066206289,0.208552337842295,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2032,158548.2965,3836.30957025356,2538.73932470543,46784.0462333222,2520.0950010536,102869.106384103,8538.76898174521,,0.191556420068644,0.0584645860972797,2.09978964918572,0.279226900944028,0.486149037508769,0.0126163862895974,0.214808907977564,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2033,164645.068,3782.35455316245,2585.67799192161,47088.543471634,2477.0466946207,108711.445297918,8539.38630126839,,0.181978599065212,0.0555413567924157,1.99480016672644,0.265265555896827,0.461841585633331,0.0119855669751176,0.221253175216891,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2034,170809.3435,3723.30236130801,2629.34906323324,47320.5966602314,2430.91040130289,114705.185037502,8539.8610916904,,0.172879669111951,0.0527642889527949,1.89506015839012,0.252002278101986,0.438749506351664,0.0113862886263617,0.227890770473397,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2035,177041.1231,3659.66076481538,2669.73716251877,47482.2862466008,2382.04611730548,120847.392765142,8540.2259257702,,0.164235685656353,0.0501260745051551,1.80030715047061,0.239402164196886,0.416812031034081,0.0108169741950436,0.234727493587599,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2036,183340.4066,3591.92226423725,2706.83849019943,47575.8555257714,2330.79970124141,127134.990626283,8540.50601301702,,0.156023901373536,0.0476197707798974,1.71029179294708,0.227432055987042,0.395971429482377,0.0102761254852914,0.241769318395227,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2037,189707.1942,3520.56257891201,2740.66036978054,47603.6914469671,2277.5020797664,133564.777702172,8540.72084456535,,0.148222706304859,0.0452387822409025,1.62477720329973,0.21606045318769,0.376172858008258,0.00976231921102686,0.249022397947084,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2038,196141.4858,3446.03934107527,2771.22073566109,47568.3053812859,2222.46860228295,140133.451705674,8540.88547546791,,0.140811570989616,0.0429768431288574,1.54353834313474,0.205257430528305,0.357364215107845,0.00927420325047552,0.256493069885497,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2039,202643.2814,3368.79099519976,2798.54757079628,47472.3140447011,2165.99854135361,146837.630220809,8541.01152308013,,0.133770992440135,0.0408280009724145,1.466361425978,0.19499455900189,0.339496004352453,0.00881049308795174,0.264187861982062,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2040,209212.581,3289.23589947058,2822.67830287312,47318.420755271,2108.37473385687,153673.87130677,8541.10794347958,,0.127082442818128,0.0387866009237938,1.3930433546791,0.185244831051796,0.32252120413483,0.00836996843355415,0.272113497841523,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2041,215849.3846,3207.7716239604,2843.65916757035,47109.3971861043,2049.86335651309,160638.693308006,8541.18163459064,,0.120728320677222,0.0368472708776041,1.32339118694515,0.175982589499206,0.306395143928089,0.00795147001187644,0.280276902776769,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2042,222553.6923,3124.77443802566,2861.54454725407,46848.0657570784,1990.71382821969,167728.593734003,8541.23790418801,,0.114691904643361,0.0350049073337239,1.25722162759789,0.167183460024245,0.291075386731684,0.00755389651128262,0.288685209860072,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2043,229325.504,3040.59897768806,2876.39629313253,46537.2827891293,1931.15883067478,174940.067094899,8541.280832671,,0.108957309411193,0.0332546619670377,1.194360546218,0.158824287023033,0.2765216173951,0.00717620168571849,0.297345766155874,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2044,236164.8197,2955.57808230945,2888.28303844836,46179.922525281,1871.41443801872,182269.621600925,8541.3135539825,,0.103509443940633,0.0315919288686858,1.1346425189071,0.150883072671882,0.262695536525345,0.00681739160143256,0.306266139140551,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2045,243071.6394,2870.02278871693,2897.27950978091,45778.8621032234,1811.68034569431,189713.794655541,8541.33847292448,,0.0983339717436015,0.0300123324252515,1.07791039296174,0.143338919038287,0.249560759699078,0.00647652202136094,0.315454123314767,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2046,250045.9631,2784.22247007511,2903.46584294806,45336.967545321,1752.14018839647,197269.167092674,8541.35743310536,,0.0934172731564215,0.0285117158039889,1.02401487331365,0.136171973086373,0.237082721714124,0.00615269592029289,0.32491774701421,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2047,257087.7909,2698.44510622067,2906.9269093773,44857.0808138348,1692.96193683859,204932.376128132,8541.37184660783,,0.0887464094986004,0.0270861300137895,0.972814129647971,0.129363374432054,0.225228585628418,0.00584506112427824,0.334665279424637,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2048,264197.1227,2612.93767184876,2907.75165816376,44342.0079620247,1634.29836308684,212700.1270128,8541.38279400579,,0.0843090890236704,0.0257318235131,0.924173423165572,0.122895205710452,0.213967156346997,0.00555280806806433,0.344705237807376,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2049,271373.9585,2527.92662885904,2906.03247836997,43794.5083961627,1576.28756439396,220569.203392158,8541.39110143667,,0.0800936345724868,0.024445232337445,0.877964752007293,0.116750445424929,0.203268798529647,0.00527516766466111,0.355046394941597,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2050,278618.2983,2443.61850929247,2901.86458546511,43217.2852490383,1519.05353576711,228536.476390931,8541.39739993648,,0.0760889528438625,0.0232229707205728,0.834066514406929,0.110912923153683,0.193105358603165,0.00501140928142806,0.365697786789845,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2051,285930.1421,2360.20057559654,2895.34543514178,42612.9768526964,1462.70678191795,236598.912454162,8541.40217107626,,0.0722845052016694,0.0220618221845441,0.792363188686582,0.105367276995998,0.183450090673006,0.00476083881735666,0.37666872039354,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2052,293309.4899,2277.84154543064,2886.5741671375,41984.1492870101,1407.34495975274,244753.57998775,8541.40578202952,,0.0686702799415859,0.0209587310753169,0.752745029252253,0.100098913146199,0.174277586139356,0.00452279687648882,0.387968782005346,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2053,300756.3418,2196.69236880837,2875.65108107677,41333.2899707995,1353.05354312355,252997.654849354,8541.40851249291,,0.0652367659445066,0.0199107945215511,0.71510777778964,0.0950939674888886,0.165563706832388,0.00429665703266438,0.399607845465507,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2054,308270.6977,2116.88704608672,2862.67714581233,40662.8022543422,1299.90650219556,261328.424749307,8541.41057533348,,0.0619749276472813,0.0189152547954735,0.679352388900158,0.0903392691144442,0.157285521490769,0.00408182418103116,0.411596080829472,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2055,315852.5576,2038.54347607821,2847.75354321665,39975.0009653043,1247.96699043407,269743.292625823,8541.41213240957,,0.0588761812649172,0.0179694920556998,0.64538476945515,0.085822305658722,0.14942124541623,0.0038777329719796,0.423943963254356,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2056,323501.9215,1961.76432439979,2830.9812469139,39272.1088549724,1197.28803289186,278239.779063305,8541.4133066821,,0.0559323722016713,0.0170710174529148,0.613115530982393,0.0815311903757859,0.141950183145419,0.00368384632338062,0.436662282151987,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
2057,331218.7895,1886.63790304007,2812.46063602703,38556.2538879035,1147.91321015886,286815.523825452,8541.41419147761,,0.0531357535915878,0.0162174665802691,0.582459754433273,0.0774546308569966,0.134852673988148,0.00349965400721159,0.449762150616546,0.767094821245683,2.10988308347155,0.592566785760888,0.95083807558184,0.0221730824555946,0.546147290741312
