时间,人口总量,GDP总量,能源消耗总量,碳排放总量
2010,7869.34,41383.87,23539.31443,82501.13274
2011,8022.99,45952.65,26860.02581,100654.7418
2012,8119.81,50660.2,27999.21811,104509.7548
2013,8192.44,55580.11,28203.10427,98763.30573
2014,8281.09,60359.43,28170.50576,92418.89584
2015,8315.11,65552,29033.60807,96253.38815
2016,8381.47,70665.70683,29947.97662,100207.7252
2017,8423.5,75752.20149,30669.88646,102421.3286
2018,8446.19,80827.71193,31373.12665,103175.9483
2019,8469.09,85556.13387,32227.50539,103567.7445
2020,8477.26,88683.21463,31437.99755,100989.0615
2035,,177366.4293,,
2060,,354732.8585,,
